Priority,Firm,Segment,City,Needs,Thesis
146,JAWS Estates Capital,Family office,Miami,named partner + verified email,Family office with keen interest in food and beverage and hospitality.
147,Lamont Companies,Family office,,named partner + verified email,Single-family office developing franchised hotels and restaurants across the US.
148,The Losa Group,Family office,,named partner + verified email,"Family office targeting food and beverage, agriculture, entertainment and hospitality."
149,Chingona Ventures,Latino-led / LatAm connected,Chicago,named partner + verified email,Invests at the earliest stages in founders building scalable companies from the ground up.
150,L'ATTITUDE Ventures,Latino-led / LatAm connected,San Diego,named partner + verified email,Purpose-driven firm investing in early-stage businesses led by US Latinos.
151,Leap Global Partners,Latino-led / LatAm connected,San Francisco,named partner + verified email,Invests in US Latino and Latin America cross-border founders.
152,Mendoza Ventures,Latino-led / LatAm connected,Boston,named partner + verified email,"Latino-led fund investing in fintech, AI and cybersecurity."
153,Vamos Ventures,Latino-led / LatAm connected,Los Angeles,named partner + verified email,Invests at seed and Series A in Latino- and diverse-led companies across four sectors.
154,Casa Verde Capital,"Operator, athlete & talent-led consumer fund",Los Angeles,verified email,Consumer and cannabis-adjacent investor.
155,HartBeat Ventures,"Operator, athlete & talent-led consumer fund",Los Angeles,verified email,Consumer and lifestyle fund.
156,Liquid 2 Ventures,"Operator, athlete & talent-led consumer fund",San Francisco,verified email,Seed fund with a large portfolio across technology and consumer.
157,Marcy Venture Partners,"Operator, athlete & talent-led consumer fund",New York,named partner + verified email,Consumer-focused fund co-founded by Shawn Carter.
158,Penny Jar Capital,"Operator, athlete & talent-led consumer fund",San Francisco,named partner + verified email,Early-stage fund investing across consumer and technology.
159,Rx3 Ventures,"Operator, athlete & talent-led consumer fund",Los Angeles,verified email,Consumer-market fund launched with a $50M debut vehicle.
160,SC30,"Operator, athlete & talent-led consumer fund",San Francisco,verified email,"Investment vehicle spanning consumer, sports and media."
161,Serena Ventures,"Operator, athlete & talent-led consumer fund",San Francisco,verified email,Backs early-stage companies with a focus on founders from diverse backgrounds.
162,Skky Partners,"Operator, athlete & talent-led consumer fund",Los Angeles,verified email,"Private equity investing in consumer products, media and entertainment, hospitality and luxury."
163,Sound Ventures,"Operator, athlete & talent-led consumer fund",Los Angeles,verified email,Founded by Ashton Kutcher and Guy Oseary; invests across consumer and technology.
164,14W,Consumer generalist,New York,named partner + verified email,"Consumer internet, marketplace, e-commerce, CPG and media specialist."
165,Amboy Street Ventures,Consumer generalist,New York,named partner + verified email,Specialises in women's health and sexual health startups.
166,Amplify.LA,Consumer generalist,Los Angeles,named partner + verified email,Seed capital plus a collaborative community for LA founders.
167,Ascend Venture Capital,Consumer generalist,Seattle,named partner + verified email,"Most active pre-seed fund in the Pacific Northwest, investing in marketplaces, consumer brands and e-commerce."
168,BAM Ventures,Consumer generalist,Los Angeles,named partner + verified email,Consumer and e-commerce focused seed fund.
169,Brand Foundry Ventures,Consumer generalist,Austin,named partner + verified email,Builds the next generation of consumer brands for digitally native audiences; leads seed and Series A.
170,BrandProject,Consumer generalist,Toronto,named partner + verified email,Early-stage fund investing in and building consumer brands.
171,Breakaway Ventures,Consumer generalist,Boston,named partner + verified email,Consumer-focused venture capital firm.
172,Bullish,Consumer generalist,New York,named partner + verified email,"Early-stage investment firm that doubles as a brand strategy agency, providing capital and hands-on brand support to consumer companies."
173,Cowboy Ventures,Consumer generalist,San Francisco,named partner + verified email,Seed-stage consumer internet investor.
174,Crosscut Ventures,Consumer generalist,Los Angeles,named partner + verified email,One of the largest seed-stage firms in Los Angeles.
175,Crush Ventures,Consumer generalist,New York,named partner + verified email,Seed-stage consumer investor with brand-building support.
176,Elizabeth Street Ventures,Consumer generalist,New York,named partner + verified email,Funds digital consumer and consumer fintech businesses transforming verticals.
177,Fernbrook,Consumer generalist,,named partner + verified email,Early-stage consumer investor.
178,Forerunner Ventures,Consumer generalist,San Francisco,verified email,"Consumer specialist; early investor in Warby Parker, Away and Glossier."
179,GCI Capital,Consumer generalist,Toronto,named partner + verified email,Toronto early-stage private equity firm.
180,GTMfund,Consumer generalist,Austin,named partner + verified email,Early-stage fund with a network of go-to-market executives.
181,Glasswing Ventures,Consumer generalist,Boston,named partner + verified email,Early-stage AI and frontier technology investor.
182,Golden Ventures,Consumer generalist,Toronto,named partner + verified email,Leading Toronto seed fund investing across North America.
183,Greycroft,Consumer generalist,New York,verified email,"Combines AI-driven software, sustainability and consumer brands; also a growth investor in food delivery infrastructure."
184,Headline,Consumer generalist,San Francisco,named partner + verified email,Formerly e.ventures; focused on marketplaces and network-effect businesses.
185,Heartland Ventures,Consumer generalist,Columbus,named partner + verified email,Connects coastal startups with Midwest corporate customers.
186,Homebrew,Consumer generalist,San Francisco,named partner + verified email,"Seed fund for the bottom-up economy, consumer marketplaces and D2C brands."
187,Hyde Park Venture Partners,Consumer generalist,Chicago,named partner + verified email,Midwest and Toronto early-stage firm focused on first and second rounds.
188,Imaginary Ventures,Consumer generalist,New York,verified email,"Identifies, invests in and scales iconic consumer businesses at the intersection of retail and technology."
189,L Catterton,Consumer generalist,Greenwich,named partner + verified email,"Consumer-focused private equity, among the largest by AUM."
190,Lattice Ventures,Consumer generalist,New York,named partner + verified email,Seed investor across consumer and food categories.
191,Lerer Hippeau,Consumer generalist,New York,named partner + verified email,"Seed first, New York first generalist that has backed culture-defining consumer brands."
192,Listen Ventures,Consumer generalist,Chicago,named partner + verified email,Consumer-focused firm backing brands with potential to capture consumer attention and disrupt established markets.
193,Math Venture Partners,Consumer generalist,Chicago,named partner + verified email,Backs companies with distribution advantage.
194,Maveron,Consumer generalist,Seattle,named partner + verified email,Consumer-only venture firm.
195,Mucker Capital,Consumer generalist,Los Angeles,named partner + verified email,Hands-on early-stage investor in Southern California software and internet companies.
196,NEXT VENTURES,Consumer generalist,Austin,named partner + verified email,"Invests in the sports, fitness, nutrition and wellness markets."
197,NFX,Consumer generalist,San Francisco,named partner + verified email,Seed fund focused on network-effect businesses and marketplaces.
198,Outlander VC,Consumer generalist,Atlanta,named partner + verified email,Writes early checks for transformative healthcare and wellness technology.
199,Pathbreaker Ventures,Consumer generalist,San Francisco,named partner + verified email,Pre-seed and seed investor across emerging technology.
200,Precursor Ventures,Consumer generalist,San Francisco,named partner + verified email,Pre-seed generalist backing founders at the earliest stage.
201,Primary Venture Partners,Consumer generalist,New York,named partner + verified email,NYC seed fund that led Allbirds and Harry's at seed.
202,Primetime Partners,Consumer generalist,New York,named partner + verified email,Focused on longevity and quality of life for aging populations.
203,Revolution Growth,Consumer generalist,Washington,named partner + verified email,Growth investor backing companies outside traditional coastal hubs.
204,SOSV,Consumer generalist,Princeton,named partner + verified email,Global deep tech fund investing $500K at inception through HAX and IndieBio.
205,Science Inc,Consumer generalist,Santa Monica,named partner + verified email,Studio and fund that built and backed Dollar Shave Club at seed.
206,Serendipity Investments,Consumer generalist,,named partner + verified email,Backs food and consumer companies.
207,Silas Capital,Consumer generalist,New York,named partner + verified email,Venture and growth equity investing in emerging consumer brands from early stage through growth.
208,Silverton Partners,Consumer generalist,Austin,named partner + verified email,"Austin early-stage firm investing in software, tech-enabled services and CPG brands."
209,Spark Capital,Consumer generalist,Boston,named partner + verified email,Consumer and technology investor.
210,Speedinvest,Consumer generalist,,named partner + verified email,Pre-seed and seed investor with sector-focused teams.
211,Sugar Capital,Consumer generalist,San Francisco,named partner + verified email,Seed-stage consumer and commerce investor.
212,True Beauty Ventures,Consumer generalist,New York,named partner + verified email,Beauty and personal care consumer brands.
213,Wavemaker Partners,Consumer generalist,Los Angeles,named partner + verified email,Early-stage investor across enterprise and deep tech.
214,Winklevoss Capital,Consumer generalist,New York,named partner + verified email,Backs early-stage consumer and food and beverage companies.
215,XRC Ventures,Consumer generalist,New York,named partner + verified email,"Invests in the future of retail, consumer and commerce technology across an Accelerator Fund, Technology Fund and Brand Capital Fund."
216,Andreessen Horowitz,"Delivery, logistics & marketplace",Menlo Park,named partner + verified email,"Multi-stage fund backing commerce infrastructure, logistics and food technology."
217,DST Global,"Delivery, logistics & marketplace",,named partner + verified email,Late-stage consumer internet investor.
218,Founders Fund,"Delivery, logistics & marketplace",San Francisco,named partner + verified email,Backs contrarian technology companies including ghost kitchen infrastructure.
219,Maersk Growth,"Delivery, logistics & marketplace",,named partner + verified email,Corporate venture arm focused on supply chain innovation and last-mile technology.
220,Prologis Ventures,"Delivery, logistics & marketplace",San Francisco,named partner + verified email,"Corporate venture arm of the logistics real estate group, focused on supply chain and last-mile solutions."
221,Sequoia Capital,"Delivery, logistics & marketplace",San Francisco,named partner + verified email,"Deep logistics and delivery portfolio, technology-first delivery solutions from seed to growth."
222,SoftBank Vision Fund,"Delivery, logistics & marketplace",,named partner + verified email,Late-stage technology investor.
223,Tiger Global Management,"Delivery, logistics & marketplace",New York,named partner + verified email,Growth investor active in delivery technology and marketplaces.
224,Y Combinator,"Delivery, logistics & marketplace",San Francisco,named partner + verified email,Accelerator that has launched over 200 notable companies including DoorDash.
225,Accel,Commerce & retail technology,Palo Alto,named partner + verified email,Focused on SaaS tools powering commerce growth.
226,Bain Capital Ventures,Commerce & retail technology,Boston,named partner + verified email,Payments and enterprise retail technology.
227,Bessemer Venture Partners,Commerce & retail technology,San Francisco,named partner + verified email,"Series A through late stage across SaaS, cloud, consumer commerce and fintech."
228,Camber Creek,Commerce & retail technology,Washington,named partner + verified email,Real estate technology investor.
229,Commerce Ventures,Commerce & retail technology,San Francisco,named partner + verified email,Retail and commerce technology investor across seed through later stages.
230,FJ Labs,Commerce & retail technology,New York,named partner + verified email,Marketplace and network-effect specialist.
231,Greylock Partners,Commerce & retail technology,Menlo Park,named partner + verified email,B2B commerce and logistics innovation.
232,Index Ventures,Commerce & retail technology,San Francisco,named partner + verified email,Invested in Shopify and marketplace leaders across Europe and the US.
233,Lightspeed Venture Partners,Commerce & retail technology,Menlo Park,named partner + verified email,Early-stage retail technology and direct-to-consumer.
234,Mu Ventures,Commerce & retail technology,,named partner + verified email,Seed-stage retail technology investor.
235,RevTech Ventures,Commerce & retail technology,Dallas,named partner + verified email,Seed-stage retail and restaurant technology accelerator and fund.
236,Silicon Road Ventures,Commerce & retail technology,Atlanta,named partner + verified email,Seed-stage retail technology investor.
237,Chobani Incubator,Accelerator or programme,New York,named partner + verified email,Incubator for early-stage food and beverage companies.
238,Good Food Accelerator,Accelerator or programme,Chicago,named partner + verified email,"Runs Go To Market, Accelerate For Growth and Market Access programmes for food entrepreneurs."
239,SKU,Accelerator or programme,Austin,named partner + verified email,"The first CPG accelerator in the US; twelve weeks of coaching across branding, supply chain and distribution."
240,Techstars Future of Food,Accelerator or programme,Minneapolis,named partner + verified email,Accelerator with Ecolab for startups across the food supply chain; up to $120K per company.
241,Terra Food and Ag Tech Accelerator,Accelerator or programme,San Francisco,named partner + verified email,Food and agriculture technology accelerator.
242,Union Kitchen,Accelerator or programme,Washington,named partner + verified email,"Food business accelerator with kitchen, distribution and retail infrastructure."
243,,Named angel investor,Miami,verified email,Miami angel with 20+ local portfolio companies since 2020.
244,,Named angel investor,Miami,verified email,Miami-based angel investing in proptech and fintech.
